HNO3_M,Density_g_cm3,wt_Ni(NO3)2,wt_HNO3,wt_H2O,wt_Ni_total,wt_N,wt_O,wt_H,64Ni,58Ni,60Ni,61Ni,62Ni
0.0,1.1184345307153332,13.149685761920207,0.0,86.85031423807979,4.470534360917915,1.9606617907528403,83.84966793359325,9.71913591473599,4.425829017308736,0.030712571059506106,0.011802210712823308,0.0005498757263929041,0.0016406861104568766
0.005,1.1186894738025963,13.146689021928287,0.028162417487410246,86.8251485605843,4.4695155510887545,1.9664754173063106,83.84723969264313,9.71677023286491,4.424820395577867,0.030705571835979772,0.011799521054874324,0.0005497504127839174,0.0016403122072495746
0.01,1.118944400861899,13.143693835778425,0.056312002590535114,86.79999416163103,4.468497269523496,1.9722864229288122,83.84481248709339,9.714405607853207,4.423812296828261,0.03069857624162645,0.011796832791542042,0.0005496251641513906,0.001639938497915125
0.05,1.1209832357495237,13.119788195899051,0.2810479139675518,86.5991638901334,4.4603700042461805,2.0186803670788964,83.82543199950317,9.695526549911765,4.415766304203719,0.030642741929171286,0.011775376811209928,0.0005486255105222808,0.00163695579155835
0.1,1.1235303039957403,13.090045343577208,0.5608215441622738,86.34913311226052,4.450258246010743,2.0764387409358056,83.80129872686146,9.672022087224967,4.405755663550636,0.030573274150093834,0.011748681769468373,0.000547381764259322,0.0016332447762859444
0.5,1.1438437690889296,12.85757987378074,2.7543097100658858,84.38811041615338,4.371226329258667,2.529385505274541,83.61181492756945,9.487660662423918,4.3275140659660805,0.030030324882007072,0.011540037509242892,0.0005376608384988166,0.0016042400628379326
1.0,1.1690612198463026,12.58023307463819,5.38979472848171,82.0299721968801,4.276935985146572,3.0738953519513608,83.3834095807721,9.265930159569367,4.2341666252951065,0.029382550217956983,0.011291111000786964,0.000526063126173029,0.0015696355065487938
2.0,1.218835857390739,12.066483386591472,10.339374185280473,77.59414242812804,4.102275109220947,4.097575419649847,82.95176605866887,8.848711594469075,4.061252358128738,0.02818263000034793,0.01083000628834331,0.000504579838434177,0.001505534965084089
3.0,1.2676527777658655,11.601806805572833,14.911812076265074,73.48638111816209,3.944297750691709,5.044734616605939,82.54926815329243,8.462172795140006,3.904854773184792,0.027097325547252065,0.010412946061826122,0.0004851486233350807,0.0014475572745038588
5.0,1.3623124899077512,10.795660124339909,23.12611844447918,66.07822143118092,3.6702298753339435,6.750559741586799,81.81538662285737,7.7645578061969545,3.633527576580604,0.025214479243544217,0.009689406870881621,0.0004514382746660755,0.0013469743642475587
